text,intent
"how much is the bmw",price
"what is the price of toyota corolla",price
"cost of honda civic",price
"tell me the price",price
"is it expensive",price
"how much do I need to pay",price
"price for mercedes",price
"what does it cost",price
"give me the price",price
"can you tell me how much",price
"What's the price for a new Toyota Corolla?",price
"How much does a 2024 Honda CR-V cost?",price
"Can you tell me the cost of the latest electric F-150?",price
"Gimme the price tag on that sporty red sedan.",price
"What's the MSRP on a base model Kia Telluride?",price
"How much are you asking for the used BMW 3 Series?",price
"I need to know the price of a Tesla Model Y right now.",price
"What is the typical leasing cost for a Nissan Rogue?",price
"Could you estimate the price of a fully loaded Porsche 911?",price
"How much did that vintage Mustang sell for?",price
"What's the going rate for a decent pre-owned minivan?",price
"Can I get a quote on the new Chevy Silverado?",price
"I'm looking for the cost of the cheapest hybrid car.",price
"What's the price range for a reliable family SUV?",price
"How much is a new Mazda Miata going to set me back?",price
"Tell me the cost of the top-trim Jeep Wrangler.",price
"What's the price of a base model Subaru Crosstrek?",price
"what is the price",price
"how much does it cost",price
"is it expensive",price
"is it cheap",price
"tell me the price",price
"car price?",price
"price please",price
"what is the cost of the vehicle",price
"how much is this car",price
"what is the selling price",price
"give me the price",price
"how much money for this car",price
"what do i need to pay",price
"cost of the car",price
"is this car affordable",price
"price details please",price
"what is the offer price",price
"is there a discount",price
"any discount on this car",price
"what is the final price",price
"price in euros",price
"price in dollars",price
"total price?",price
"payment amount?",price
"can you tell the price",price
"is the price negotiable",price
"lowest price?",price
"maximum price?",price
"current price?",price
"what is the cost today?",price
"how much should i pay for it",price
"car cost?",price
"how expensive is it",price
"purchase price?",price
"selling cost?",price
"What company makes the Civic?",brand
"Who is the manufacturer of the F-Pace?",brand
"Which car company produces the Model S?",brand
"What brand is known for the Quattro system?",brand
"Who builds the Ram trucks?",brand
"Which corporation owns the Lexus marque?",brand
"What car brand has a four-ring logo?",brand
"I want to know the make of the Explorer SUV.",brand
"Name the brand that produces the Chiron.",brand
"What brand is the new electric Hummer under?",brand
"Which company makes the best luxury sedans, in your opinion?",brand
"I'm curious about the company behind the Outback.",brand
"Who manufactures the G-Wagon?",brand
"Which brand is famous for the rotary engine?",brand
"Tell me which automotive brand starts with a V and is Swedish.",brand
"What's the brand of that super fast orange car?",brand
"I'm interested in the new Ford Bronco, what kind of vehicle is that?",model
"what brand is this car",brand
"what company makes it",brand
"who is the manufacturer",brand
"car brand?",brand
"which brand is it",brand
"what is the make of the car",brand
"who builds this vehicle",brand
"company name?",brand
"producer of the car?",brand
"brand name?",brand
"who designed this car",brand
"is it german brand",brand
"is it japanese brand",brand
"is it american brand",brand
"brand origin?",brand
"origin country of brand?",brand
"What's the name of the smallest Mercedes-Benz SUV?",model
"Do you have information on the newest electric car from Rivian?",model
"What model is considered the flagship sedan for Audi?",model
"Which model replaced the long-running VW Beetle?",model
"What is the model name for the popular Toyota pickup truck?",model
"I need details on the high-performance version of the standard Corolla.",model
"What's the most common model of electric vehicle on the road?",model
"Tell me the name of the fastest production car model.",model
"Which model of Hyundai has a three-row seating option?",model
"What model am I looking for if I want a small, fun convertible?",model
"The name of the new luxury SUV from Genesis?",model
"Is the Pathfinder a sedan or an SUV model?",model
"What is the specific model of that classic Aston Martin?",model
"Could you list the different trims of the Honda Accord?",model
"What's the current name for the base-level Porsche SUV?",model
"what is the model",model
"car model?",model
"tell me the model name",model
"which model is this",model
"full model name?",model
"model version?",model
"exact model?",model
"model type?",model
"vehicle model?",model
"variant model?",model
"model series?",model
"technical model?",model
"what are the specs of audi",model
"tell me about the engine",model
"how much horsepower",model
"what features does it have",model
"show me specifications",model
"details about the car",model
"is it automatic or manual",model
"what is the fuel type",model
"how fast is it",model
"engine size",model
"What year did the current generation of the Golf R come out?",year
"I want a car from 2023 or newer.",year
"What model years are available for the used Toyota Tacoma?",year
"Is the latest version of the Mustang a 2024 model year?",year
"What year was the most recent major redesign for the S-Class?",year
"Tell me the production year of that vintage Ferrari.",year
"When was the first electric Mini Cooper released?",year
"What year do you recommend for a reliable used Civic?",year
"I'm only considering cars from the last two years.",year
"Which year saw the biggest safety improvements for the Chevy Traverse?",year
"What year is that low-mileage Corvette?",year
"What's the model year of the newest Ford GT?",year
"What year does my current car's title say?",year
"What year did they stop making the Dodge Viper?",year
"I need to know the official release year for the Cybertruck.",year
"I'm looking for a car made in 2020.",year
"what year was it made",year
"production year?",year
"manufacturing date?",year
"when was it built",year
"what is the model year",year
"year of construction?",year
"launch year?",year
"in which year was it produced",year
"year info?",year
"car year?",year
"release year?",year
"year built?",year
"Does the new Prius run on gas or is it a hybrid?",fuel
"What kind of fuel does a diesel engine use?",fuel
"Can the latest BMW 7 Series take premium gas?",fuel
"Is the Volvo XC40 available as an all-electric vehicle?",fuel
"What fuel type is recommended for the high-performance engine?",fuel
"Do you have any cars that run on ethanol?",fuel
"What's the fuel source for the latest hydrogen car?",fuel
"What type of fuel should I put in a classic muscle car?",fuel
"Is there a difference in fuel for the hybrid versus the standard version?",fuel
"Tell me if this specific Mustang is a flex-fuel model.",fuel
"What is the primary fuel source for most modern passenger cars?",fuel
"Is it better to use 87 or 91 octane in a standard Nissan Altima?",fuel
"I only wanna look at battery electric vehicles.",fuel
"What kind of fuel does that big truck take?",fuel
"Does this model require unleaded gas?",fuel
"What fuel does that little smart car use?",fuel
"what fuel does it use",fuel
"fuel type?",fuel
"is it petrol",fuel
"is it diesel",fuel
"is it electric",fuel
"is it hybrid",fuel
"does it use gas",fuel
"what energy does it use",fuel
"car runs on what",fuel
"fuel category?",fuel
"gasoline or diesel",fuel
"power source?",fuel
"does it consume electricity",fuel
"fuel mode?",fuel
"fuel system?",fuel
"What's the horsepower of the base engine in the F-150?",engine
"Tell me about the engine in the new Corvette Z06.",engine
"Does the standard model have a V6 or an inline-four engine?",engine
"What's the displacement of the engine in the entry-level Porsche Macan?",engine
"Is the engine turbocharged or naturally aspirated?",engine
"How many cylinders does the engine in the new Lexus GX have?",engine
"What is the torque rating of the biggest engine option for the Ram 1500?",engine
"Does the base model come with a hybrid powertrain or a standard combustion engine?",engine
"I need information on the size and type of the engine.",engine
"What kind of engine is in a Tesla Model 3?",engine
"Describe the engine technology in the new Mazda Skyactiv-X.",engine
"Is it a front-engine or a mid-engine layout for that sports car?",engine
"What is the engine code for the 2.0L turbo in the GTI?",engine
"How much power does the plug-in hybrid engine generate?",engine
"Does the engine have a timing belt or a timing chain?",engine
"What's the maximum RPM for the standard engine?",engine
"engine type?",engine
"what engine does it have",engine
"engine size?",engine
"engine capacity?",engine
"power engine?",engine
"engine specifications?",engine
"what motor does it use",engine
"engine details?",engine
"engine performance?",engine
"how strong is the engine",engine
"engine volume?",engine
"engine displacement?",engine
"What is the top speed of a stock Dodge Challenger Hellcat?",speed
"How fast can the new Ferrari SF90 go from 0 to 60 mph?",speed
"What's the fastest car in your inventory right now?",speed
"Tell me the maximum speed this sedan can reach.",speed
"What's the quarter-mile time for a Tesla Model S Plaid?",speed
"How quickly can the small hatchback accelerate?",speed
"What's the average cruising speed on the highway for this vehicle?",speed
"Does the electric version have a lower top speed than the gas one?",speed
"What kind of speeds can I expect on the track with this model?",speed
"What is the official top speed rating for the McLaren 720S?",speed
"How fast can that small truck accelerate to 30 mph?",speed
"What's the governor-limited top speed for the economy version?",speed
"Can this car hit 150 mph?",speed
"What's the 0 to 100 km/h time for the Audi e-tron GT?",speed
"How quickly does the transmission shift gears at full throttle?",speed
"What is the car's maximum achievable speed?",speed
"maximum speed?",speed
"top speed?",speed
"how fast is it",speed
"speed limit?",speed
"fastest speed?",speed
"mph or kmh",speed
"speed info?",speed
"car acceleration?",speed
"how quick is it",speed
"speed capability?",speed
"Is the new Toyota Supra available with a manual transmission?",transmission
"Does this car have an automatic or stick shift transmission?",transmission
"What type of transmission is in the Honda CR-V?",transmission
"Is it a CVT or a traditional automatic gearbox?",transmission
"How many gears does the manual option have?",transmission
"Tell me if the automatic transmission is a dual-clutch system.",transmission
"Can I get the top-trim level with a six-speed manual?",transmission
"What kind of transmission is best for city driving?",transmission
"Is the new electric car single-speed or multi-gear?",transmission
"What transmission does the base model of the F-150 use?",transmission
"I wanna know if it's an auto or a manual trans.",transmission
"Does the gear selector use a traditional lever or buttons?",transmission
"Is the transmission known for being reliable in this model?",transmission
"What kind of transmission system is used in a Jeep Wrangler?",transmission
"Does the new model offer a continuously variable transmission?",transmission
"How smooth are the shifts with the automatic tranny?",transmission
"automatic or manual",transmission
"gearbox type?",transmission
"what transmission does it have",transmission
"manual transmission?",transmission
"is it automatic",transmission
"automatic gearbox?",transmission
"car gear system?",transmission
"shift type?",transmission
"drive system?",transmission
"What is the miles per gallon (MPG) rating for city driving?",consumption
"How good is the gas mileage on the highway for the hybrid Santa Fe?",consumption
"Tell me the fuel economy figures for the smallest engine option.",consumption
"What's the combined MPGe for the plug-in hybrid Pacifica?",consumption
"How many liters per 100 km does the diesel model consume?",consumption
"Is the fuel consumption better than the previous model year?",consumption
"What is the expected average fuel usage for this SUV?",consumption
"How much will I spend on gas each week with this car?",consumption
"What's the efficiency rating of the all-electric range?",consumption
"I need to know the estimated annual fuel cost.",consumption
"Does this car get good gas mileage?",consumption
"What's the advertised fuel efficiency for the new compact sedan?",consumption
"Is the highway consumption really high?",consumption
"How far can I drive on a full tank of gas?",consumption
"What's the average range for the standard Tesla Model 3?",consumption
"How many miles per gallon do I get with that truck?",consumption
"fuel consumption?",consumption
"how much fuel does it burn",consumption
"consumption per 100km,consumption
"fuel economy?",consumption
"is it economical,consumption
"how efficient is it,consumption
"gas mileage?",consumption
"fuel usage?",consumption
"consumption rate?",consumption
"car efficiency?",consumption
"Do you have the new Civic in blue?",color
"What color options are available for the new Mustang Mach-E?",color
"Can I get the Kia Telluride in a metallic grey finish?",color
"Is the sporty coupe available in yellow or orange?",color
"What is the official name of the bright red paint option?",color
"I'm looking for a car in a deep, dark green color?",color
"Do you stock any white SUVs with a black roof option?",color
"What are the interior color choices for the leather seats?",color
"Show me the car in the premium blue shade.",color
"I want to know all the paint colors for the new F-150.",color
"Is it possible to get a matte black finish?",color
"What's the most popular color for the used Toyota Camry?",color
"Tell me if you have any silver cars.",color
"What colors are available for the new Volvo XC60?",color
"I only like black cars, what do you have?",color
"What are the options for the car's exterior paint?",color
"what color is it",color
"car color?",color
"available colors?",color
"color options?",color
"vehicle shade?",color
"paint color?",color
"body color?",color
"external color?",color
"Is the 2024 Honda Pilot available at your dealership now?",availability
"When can I expect the new electric pickup truck to be in stock?",availability
"Are there any used models of the BMW X5 currently available?",availability
"How long is the waiting list for a new Porsche 911?",availability
"Do you have this specific color and trim level ready to buy?",availability
"When is the expected delivery time for a custom-ordered vehicle?",availability
"Can I buy the model I see on the showroom floor today?",availability
"Is that low-mileage sedan still available for a test drive?",availability
"What's the current wait time for a Toyota RAV4 Prime?",availability
"Are there any models available for immediate purchase?",availability
"Do you have any new cars in stock?",availability
"Tell me if this particular year and model is currently in your inventory.",availability
"Is it hard to find a used Jeep Wrangler right now?",availability
"When will the next shipment of the new model arrive?",availability
"Are there any used models near me?",availability
"Is that sporty car ready to drive away today?",availability
"is it available",availability
"in stock?",availability
"can i buy it",availability
"is it sold",availability
"ready for sale?",availability
"available now?",availability
"is it on sale",availability
"can i order it",availability
"order availability?",availability
"is the bmw x5 available",availability
"do you have toyota in stock",availability
"is honda civic in stock",availability
"can i buy a mercedes",availability
"is it available",availability
"do you sell cars",availability
"is the car there",availability
"any bmw left",availability
"check availability",availability
"is it sold out",availability
"What is the current mileage on the used Ford Focus?",mileage
"How many miles are on that classic Chevy?",mileage
"Is the mileage on this car considered high for its age?",mileage
"What's the average annual mileage for this type of vehicle?",mileage
"Can I see the exact odometer reading for the certified pre-owned car?",mileage
"How many kilometers has the imported vehicle driven?",mileage
"I want to know the total miles driven by the previous owner.",mileage
"Is the mileage verified on this used SUV?",mileage
"What's the lowest mileage model you currently have in stock?",mileage
"Tell me the mileage on the base model trade-in.",mileage
"Is 50,000 miles a lot for a five-year-old car?",mileage
"What's the reading on the odometer?",mileage
"How many miles does the car have on it?",mileage
"I need a car with less than 20,000 miles.",mileage
"What's the guaranteed mileage for this model?",mileage
"What's the recorded mileage since its last service?",mileage
"how many kilometers",mileage
"mileage?",mileage
"km driven?",mileage
"distance traveled?",mileage
"used kilometers?",mileage
"how old in km?",mileage
"odometer reading?",mileage
"driving distance?",mileage
"What kind of warranty does a new Tesla Model Y come with?",warranty
"Does the used car still have a factory warranty remaining?",warranty
"What's the coverage period for the bumper-to-bumper warranty?",warranty
"Is an extended warranty available for this specific model?",warranty
"What parts are covered under the powertrain warranty?",warranty
"How long is the battery warranty on the electric vehicle?",warranty
"Tell me the terms and conditions of the dealer's warranty.",warranty
"Is there a separate warranty for the paint and rust protection?",warranty
"What does the limited warranty actually cover?",warranty
"Can I transfer the remaining warranty to a new owner?",warranty
"What is the cost of the optional service contract?",warranty
"Does this model include a complimentary maintenance package?",warranty
"What's the warranty on the transmission replacement?",warranty
"Is there a guarantee for the electrical system?",warranty
"How many years of warranty are left on that used minivan?",warranty
"Does the manufacturer cover roadside assistance under warranty?",warranty
"warranty?",warranty
"is there warranty",warranty
"guarantee?",warranty
"does it include warranty,warranty
"warranty duration?",warranty
"how long warranty,warranty
"warranty info?",warranty
"What is the overall condition of the 2018 Jeep Cherokee?",condition
"Is the car in excellent or fair condition?",condition
"Tell me about any major dents, scratches, or body damage.",condition
"What is the condition of the tires on the used sedan?",condition
"Has the car ever been in an accident that affected its frame?",condition
"What are the interior condition details, like seat wear?",condition
"Is the engine in good working order?",condition
"Do you have a detailed inspection report on the vehicle's condition?",condition
"What's the condition of the brakes and rotors?",condition
"Does the car need any immediate maintenance or repairs?",condition
"How would you rate the exterior paint's condition?",condition
"Is there any rust underneath the vehicle?",condition
"Tell me if the air conditioning is in good working order.",condition
"What's the overall cosmetic state of the vehicle?",condition
"Has the car been detailed recently?",condition
"How is the battery's health on the used EV?",condition
"new or used?",condition
"is it new,condition
"is it used,condition
"condition of the car,condition
"car condition?",condition
"state of vehicle?",condition
"general condition?",condition
"Can you recommend a reliable SUV for a family of five?",recommendation
"What is the best small car for city driving and parking?",recommendation
"What's a good first car for a new driver on a budget?",recommendation
"Recommend a fuel-efficient hybrid sedan under $30,000.",recommendation
"What's a reliable alternative to the Toyota Camry?",recommendation
"Which brand is known for the most dependable cars?",recommendation
"I need a safe car; what do you suggest I look at?",recommendation
"What's the best sports car for track days that's also street legal?",recommendation
"Could you suggest a good car for towing a small boat?",recommendation
"What is the best luxury car under $75,000 this year?",recommendation
"I'm looking for a fun-to-drive manual car, what's a good choice?",recommendation
"What car is the best overall value right now?",recommendation
"Can you recommend a car with great resale value?",recommendation
"Which car should I buy if I drive mostly on rough roads?",recommendation
"I wanna know what you think is the best truck for hauling stuff.",recommendation
"What's the most recommended electric car right now?",recommendation
"recommend a car,recommendation
"which car should i buy,recommendation
"best car for me,recommendation
"what do you suggest,recommendation
"top recommendation?",recommendation
"suggest me a car,recommendation
"car advice?,recommendation
"help me choose a car,recommendation
"compare bmw and mercedes",comparison
"which is better toyota or honda",comparison
"difference between x5 and q5",comparison
"quelle est la différence entre",comparison
"what is the difference between",comparison
"vs",comparison
"compare prices",comparison
"which one is faster",comparison
"comparison of two cars",comparison
"compare civic and corolla",comparison
"honda vs toyota",comparison
"bmw or mercedes",comparison
"quelle est la différence",comparison
"la différence entre",comparison
"comparer civic et corolla",comparison
"civic ou corolla",comparison
"différence civic corolla",comparison
"hello",greeting
"hi",greeting
"good morning",greeting
"hey",greeting
"how are you",greeting
"who are you",greeting
"what is your name",greeting
"bye",greeting
"goodbye",greeting
"hello there",greeting
"hi bot",greeting
"good evening",greeting
"hey there",greeting
"greetings",greeting
"weather today",general
"who won the match",general
"best restaurant nearby",general
"how to cook pasta",general
"capital of france",general
"tell me a joke",general
"what time is it",general
"how is the weather",general
"is it raining",general
"who is the president",general
"what is the meaning of life",general
"random question",general
"not about cars",general
"something else",general
"list of cars",list_cars
"show me all cars",list_cars
"what cars do you have",list_cars
"list available cars",list_cars
"donner moi la liste des voitures",list_cars
"liste des voitures",list_cars
"show inventory",list_cars
"what is in stock",list_cars
"list all vehicles",list_cars
"inventory list",list_cars
"give me the list of available cars",list_cars
"show me the list of cars",list_cars
"display all cars",list_cars
"what vehicles are available",list_cars
"can you list the cars",list_cars
"i want to see the list of cars",list_cars
"show me the catalog",list_cars
"full car list",list_cars
"all cars list",list_cars
"list of all cars",list_cars
